timestamp,Susceptible,Diagnosed,Infected,Ailing,Recognized,Healed,Threatened,Extinct
6.0,0.999960191682492,7.188543040718271e-6,2.095769816754974e-5,3.5626005575838948e-6,4.9266013491473635e-6,2.8018488307837383e-6,3.8142040166418687e-7,6.271823394080485e-9
7.0,0.9999440144179128,1.005942953192849e-5,2.897400244826364e-5,4.94732754419506e-6,7.291673122925288e-6,4.115629842985415e-6,6.030658992789172e-7,1.112036040510469e-8
8.0,0.999921633878589,1.4011024731049518e-5,4.007155026756926e-5,6.854257925402648e-6,1.056122646434208e-5,5.945575340949586e-6,9.205179737065824e-7,1.863537070515834e-8
9.0,0.9998906054851253,1.9473338502287854e-5,5.5462269357228476e-5,9.492990309602348e-6,1.5086919272569078e-5,8.494693667671018e-6,1.3709946455562428e-6,2.997578250000954e-8
9.340474725164182,0.9998775225436314,2.1773721574985946e-5,6.195233037336757e-5,1.060519488199062e-5,1.6992882480289113e-5,9.572000201025373e-6,1.563025943356733e-6,3.496757643294885e-8
9.340474725164182,0.9998775225436314,2.1773721574985946e-5,6.195233037336757e-5,1.060519488199062e-5,1.6992882480289113e-5,9.572000201025373e-6,1.563025943356733e-6,3.496757643294885e-8
10.0,0.9998476773519586,2.701793161978039e-5,7.675829797528259e-5,1.3142001310045741e-5,2.133728420194592e-5,1.2033122477673565e-5,2.0039987111406213e-6,4.667840835589985e-8
11.0,0.9997883875559703,3.74276633189956e-5,0.0001061731479947738,1.818038451328e-5,2.9958218386991508e-5,1.6931469992288578e-5,2.887379426842409e-6,7.08470593609271e-8
12.0,0.9997063141055547,5.1829298684740415e-5,0.00014689181597823435,2.5154114165607625e-5,4.1879646533256365e-5,2.372334513741689e-5,4.118836487885256e-6,1.0550412097386774e-7
13.0,0.9995924954271871,7.17951892969158e-5,0.00020335710301651978,3.482507981204261e-5,5.8400343425940724e-5,3.3153820986582366e-5,5.834838426593646e-6,1.5486451118645538e-7
13.321662624583883,0.9995473121020938,7.972029424173551e-5,0.00022577125026753512,3.866428070035545e-5,6.495657627655267e-5,3.689983625430736e-5,6.517601787398416e-6,1.747250411295409e-7
13.321662624583883,0.9995473121020938,7.972029424173551e-5,0.00022577125026753512,3.866428070035545e-5,6.495657627655267e-5,3.689983625430736e-5,6.517601787398416e-6,1.747250411295409e-7
14.0,0.9994351095437404,9.93993439849991e-5,0.00028142762873304767,4.819755940638339e-5,8.123600427851879e-5,4.620647656709553e-5,8.215620233991553e-6,2.244897184207726e-7
15.0,0.9992178374312815,0.00013750549184408736,0.0003891894857651803,6.665889046336657e-5,0.00011275422769077266,6.423910070035138e-5,1.1509985851612774e-5,3.2205306596549135e-7
16.0,0.9989172167665936,0.00019023442203206032,0.0005382571578536419,9.220635632741334e-5,0.00015636126892883823,8.920588241983848e-5,1.6076209454179932e-5,4.586030532738782e-7
17.0,0.9985005732867631,0.000263326589018618,0.0007447839862221216,0.00012761752933375744,0.0002168169902533028,0.00012383384456938977,2.2414864739575027e-5,6.495757628960152e-7
17.36573266945564,0.9983112424821821,0.0002965456215356725,0.0008386075488075081,0.00014370935592001105,0.00024429922317177166,0.00013957750252323358,2.5298146507297573e-5,7.36786015258064e-7
17.36573266945564,0.9983112424821821,0.0002965456215356725,0.0008386075488075081,0.00014370935592001105,0.00024429922317177166,0.00013957750252323358,2.5298146507297573e-5,7.36786015258064e-7
18.0,0.9979250387728407,0.00036431337714972693,0.0010299341182529681,0.00017652753874922516,0.00030039321004511534,0.0001717091337656579,3.1185215365643674e-5,9.153004937597434e-7
19.0,0.9971314297796829,0.0005036078075529113,0.0014229004492337203,0.00024397466029919834,0.0004157363437542627,0.00023778553813349275,4.3298204775925306e-5,1.2838832303203822e-6
20.0,0.9960354460532858,0.0006960901543902578,0.0019651255058464865,0.0003371711073725493,0.0005751861691216306,0.000329144094246649,6.0057942439088525e-5,1.7956399603916269e-6
21.0,0.9945208752472195,0.0009622989553704329,0.0027134568634983453,0.00046600899423195465,0.000795966075670121,0.0004556199873163485,8.328365455603589e-5,2.506888799962486e-6
21.35320626327382,0.9938590346246354,0.0010786928545291929,0.003040128627231854,0.0005223121156708208,0.0008926087107492253,0.0005109655977890429,9.345525474387998e-5,2.8188813133729593e-6
21.35320626327382,0.9938590346246354,0.0010786928545291929,0.003040128627231854,0.0005223121156708208,0.0008926087107492253,0.0005109655977890429,9.345525474387998e-5,2.8188813133729593e-6
22.0,0.992436809774889,0.001328906014119329,0.0037413513933117495,0.0006432239378444651,0.0011007748809769159,0.0006300893541867245,0.00011536949840877355,3.4918129257934314e-6
23.0,0.9895760707108884,0.0018327452782585085,0.005149245088038859,0.0008865576546882786,0.001520648260273136,0.0008702808044073661,0.00015961589672169513,4.852973386556302e-6
24.0,0.9856509283857577,0.0025255586063061292,0.007074776313677015,0.0012210399672936544,0.0020991151305997987,0.0012011620622375564,0.00022069942383976334,6.73677695120519e-6
25.0,0.9802816076705321,0.003475939758749442,0.009696190607296845,0.0016791151236575296,0.002896176715649959,0.0016565837899203443,0.0003050572022401529,9.345798616488937e-6
25.27500043577002,0.9784912922991311,0.003793412716410602,0.010567213547907996,0.0018318738702086822,0.0031634816006752297,0.0018091338650325977,0.0003333852408882486,1.0223526408393855e-5
25.27500043577002,0.9784912922991311,0.003793412716410602,0.010567213547907996,0.0018318738702086822,0.0031634816006752297,0.0018091338650325977,0.0003333852408882486,1.0223526408393855e-5
26.0,0.9729939313353361,0.004769442450542229,0.01323189946181351,0.0022999521579039513,0.003990673817311436,0.0022800530766333726,0.0004211180661533948,1.2946300968917699e-5
27.0,0.9631535690304954,0.006523876479477511,0.017967301881276272,0.0031396076881878656,0.0054867219183827665,0.0031306600995934615,0.0005803739311103449,1.7905638139206308e-5
28.0,0.9499643466261449,0.008893141605131102,0.02423770754806116,0.004271404869763904,0.00752278780073137,0.004287300415242937,0.000798587301463194,2.4740500124340006e-5
29.0,0.9325202615321452,0.012054993763013487,0.03238884859704205,0.005772580865222794,0.010283093519318161,0.0058494123441932356,0.0010966772321429259,3.4148813585015234e-5
29.19335993438867,0.9285726405234583,0.012774390715806345,0.03421173997613041,0.006112217053823658,0.010919030376744888,0.006208016662683663,0.0011656453030985422,3.6336054917028775e-5
29.19335993438867,0.9285726405234583,0.012774390715806345,0.03421173997613041,0.006112217053823658,0.010919030376744888,0.006208016662683663,0.0011656453030985422,3.6336054917028775e-5
30.0,0.9098375343561509,0.016202240278918683,0.04275672028834491,0.0077171198277513585,0.014001176371544624,0.007936844647902803,0.0015013436821145097,4.703721393513949e-5
31.0,0.8808572397272025,0.0215793958664327,0.05558916478146941,0.010212736302916437,0.018949749116749157,0.01069985192773857,0.0020472443090392826,6.463463511479594e-5
